file_size	file_name	download_status
977.91	180) Geography Class 38 - 040623.mp4	NOT_UPLOADED
979.57	179) Geography Class 37 - 060323.mp4	NOT_UPLOADED
890.99	178) Geography Class 36 - 280223.mp4	NOT_UPLOADED
982.43	177) Geography Class 35 - 210223.mp4	NOT_UPLOADED
999.67	176) Geography Class 34 - 200223.mp4	NOT_UPLOADED
1000.36	175) Geography Class 33 - 170223.mp4	NOT_UPLOADED
996.22	174) Geography Class 32 - 130223.mp4	NOT_UPLOADED
1022.93	173) Geography Class 31 - 100223.mp4	NOT_UPLOADED
1050.74	172) Geography Class 30 - 060223.mp4	NOT_UPLOADED
941.96	171) Geography Class 29 - 010223.mp4	NOT_UPLOADED
1005.63	170) Geography Class 28 - 310123.mp4	NOT_UPLOADED
1074.06	169) Geography Class 27 - 290123.mp4	NOT_UPLOADED
1053.48	168) Geography Class 26 - 240123.mp4	NOT_UPLOADED
1012.08	167) Geography Class 25 - 230123.mp4	NOT_UPLOADED
1001.05	166) Geography Class 24 - 200123.mp4	NOT_UPLOADED
1028.25	165) Geography Class 23 - 170123.mp4	NOT_UPLOADED
1064.62	164) Geography Class 22 - 160123.mp4	NOT_UPLOADED
973.02	163) Geography Class 21 - 090123.mp4	NOT_UPLOADED
1010.3	162) Geography Class 20 - 040123.mp4	NOT_UPLOADED
1048.94	161) Geography Class 19 - 030123.mp4	NOT_UPLOADED
903.25	160) Geography Class 18 - 020123.mp4	NOT_UPLOADED
976.39	159) Geography Class 17 - 281222.mp4	NOT_UPLOADED
1062.51	158) Geography Class 16 - 261222.mp4	NOT_UPLOADED
992.86	157) Geography Class 15 - 221222.mp4	NOT_UPLOADED
1018.79	156) Geography Class 14 - 201222.mp4	NOT_UPLOADED
950.32	155) Geography Class 13 - 181222.mp4	NOT_UPLOADED
1002.7	154) Geography Class 12 - 101222.mp4	NOT_UPLOADED
1010.27	153) Geography Class 11 - 091222.mp4	NOT_UPLOADED
1008.47	152) Geography Class 10 - 061222.mp4	NOT_UPLOADED
1029.87	151) Geography Class 09 - 301122.mp4	NOT_UPLOADED
782.7	150) Geography Class 08 - 241122.mp4	NOT_UPLOADED
775.4	149) Geography Class 07 - 211122.mp4	NOT_UPLOADED
776.86	148) Geography Class 06 - 301022.mp4	NOT_UPLOADED
544.48	147) Geography Class 05 - 211022.mp4	NOT_UPLOADED
735.48	146) Geography Class 04 - 201022.mp4	NOT_UPLOADED
835.89	145) Geography Class 03 - 131022.mp4	NOT_UPLOADED
780.72	144) Geography Class 02 - 121022.mp4	NOT_UPLOADED
582.5	143) Geography Class 01 - 111022.mp4	NOT_UPLOADED
903.35	142) Ethics_JG Class 09 - 220124.mp4	NOT_UPLOADED
968.12	141) Ethics Class 08 - 180124.mp4	NOT_UPLOADED
1019.67	140) Ethics Class 07 - 170124.mp4	NOT_UPLOADED
788.24	139) Ethics Class 06 - 160124.mp4	NOT_UPLOADED
934.74	138) Ethics_JG Class 05 - 130124.mp4	NOT_UPLOADED
1076.77	137) Ethics_JG Class 04 - 030124.mp4	NOT_UPLOADED
1031.61	136) Ethics_JG Class 03 - 020124.mp4	NOT_UPLOADED
